"MATH","SEX","SCH_TYPE","LOC_CON","SEL_CON","MOTIV"
40.2,2,1,0.29,0.88,0.67
41.9,1,1,-0.42,0.03,0.33
41.9,2,1,0.71,0.03,0.67
32.7,2,1,0.06,0.03,0
39.5,2,1,0.22,-0.28,0
46.2,1,1,0.46,0.03,0
48,1,1,0.44,-0.47,0.33
36.9,2,1,0.68,0.25,1
45.3,1,1,0.06,0.56,0.33
42.9,2,1,0.25,0.34,1
59.8,1,1,0.06,-0.59,0
42.8,1,1,-1.1,0.03,0
38.6,2,1,0.52,-0.59,0.67
45.9,1,1,-1.28,1.19,1
46.2,2,1,0.06,0.03,1
55.7,2,1,0.26,0.03,1
41.8,1,1,0.21,0.94,0
58.9,1,1,0.06,0.03,1
68,1,1,0.28,0.03,1
45.9,1,1,-0.44,-0.84,0.33
51.6,2,1,-0.43,0.13,0.33
39.9,2,1,-0.22,0.32,0.33
41,2,1,0.73,-1.42,0.33
52.2,1,1,0.26,0.03,0.33
53.6,2,1,0.46,0.59,1
49,2,1,-0.6,-0.47,0.67
36.1,2,1,-0.9,0.03,0.67
41.9,2,1,0.31,1.19,1
44.5,1,1,-0.21,-1.38,0
53.4,2,1,0.69,0.34,1
42.2,2,1,-0.19,-1.67,0
45.4,1,1,-1.78,0.56,0.33
37.7,1,1,0.3,0.56,1
65.4,1,1,1.36,0.44,0.67
38.6,2,1,-1.05,-1.65,0
37.6,1,1,0.29,0.39,0.33
36.7,1,1,-0.83,0.13,1
53.6,1,1,0.21,-0.28,0.67
48.2,1,1,-0.03,0.63,0.67
52,1,1,0.03,0.28,0.33
44.4,1,1,-0.83,1.19,0.67
49.2,2,1,0.22,-0.76,1
48.6,1,1,1.16,0.32,1
43.6,1,1,-0.22,-1.34,0.67
36,1,1,-0.18,0.15,0
37.7,2,1,0.02,0.03,0.33
48,2,1,-1.06,0.03,0.67
33.7,1,1,-1.33,0.03,1
43.5,1,1,-1.55,0.03,0
48.7,1,1,-1.58,0.56,0.67
38.8,2,1,0.47,-0.09,0.33
56.9,1,1,0.46,0.03,0.67
42.8,2,1,-1.78,0.56,1
45.1,1,1,-0.84,-1.09,0.33
44.5,2,1,-0.89,-0.18,0.67
56.8,1,1,-0.68,-0.26,0
41.2,2,1,-0.6,0.32,1
35.1,1,1,-0.59,1.19,0.67
61.1,1,1,-0.04,0.65,1
33.7,2,1,0.52,-0.28,0.67
35.1,2,1,-0.34,0.59,1
38.7,1,1,-0.44,0.03,0.33
51.1,1,1,-0.21,0.03,1
58.1,2,1,0.32,-1.17,0.33
63.7,2,1,-0.71,-2.29,0.33
44.3,1,1,0.45,0.03,0.67
46.2,1,1,0.71,0.03,1
66.3,1,1,0.06,0.44,0.67
47.1,2,1,0.06,0.28,1
58.1,1,1,0.91,0.34,1
41.9,2,1,-1.09,0.03,0.33
62.3,2,1,0.02,0.03,0.67
66.3,1,2,-1.05,0.28,0.67
62.1,2,1,0.11,-1.42,1
48.7,1,1,0.89,0.32,0.67
55.2,1,1,-0.45,-0.64,0.33
61.2,1,1,0.46,-0.3,1
65.4,2,1,0.46,-1.17,0
43.5,2,1,0.28,0.94,1
54.4,2,1,0.06,0.9,0.67
57.9,1,1,0.06,0.94,1
75.5,1,1,-0.17,0.31,1
49.4,1,1,-0.38,0.03,0
68,2,1,0.23,-0.6,1
69.6,1,1,1.36,0.59,1
41.9,2,1,-0.39,1.19,1
57.8,1,1,-1.28,-1.05,0.33
45.9,2,1,-0.65,-1.17,0
51.8,2,2,-0.4,-0.47,1
68.1,2,1,0.06,-0.29,0.67
59.6,2,1,0.55,0.9,1
66.4,2,1,-0.35,-0.89,0
55.3,2,1,0.3,-1.09,0
49.4,2,1,-0.93,0.65,1
72.2,2,1,1.16,-0.72,0.67
75.5,1,1,0,0.15,0.33
51.4,1,1,0.52,0.34,1
57.4,2,2,0.42,-0.47,0.33
43.1,1,2,-0.67,-0.47,0
46.9,2,2,0.45,0.65,1
49.9,2,2,0.06,0.32,0
62.3,1,2,0.26,0.88,1
59.6,2,2,0.46,0.34,1
43.8,2,1,-0.89,-1.23,1
38.4,2,1,0.57,-2.62,0
46.8,2,1,0.26,0.94,0
40.4,2,1,0.31,1.19,1
40.3,1,1,0.93,-1.63,0.67
66.1,1,1,0.68,0.94,1
50.3,1,1,0.03,0.32,1
43,1,1,-0.03,0.87,1
36.9,1,1,0.24,-0.35,1
67.1,2,1,1.14,1.19,1
48,2,1,0.27,0.34,1
44.2,2,1,-1.34,1.19,1
42.8,1,1,0.45,-0.91,0.33
38.5,2,1,0.28,1.19,1
33.4,2,1,-1.33,-0.26,0.67
44.5,1,1,0.49,0.94,1
42.4,2,1,0.1,0.32,0.67
63,2,1,1.11,-1.05,0.33
54.9,2,1,0.22,-0.76,0.67
41.2,2,1,0.75,-0.72,0.67
56.6,1,1,0.89,0.15,0.67
42.8,2,1,-0.49,0.03,0
51.1,1,1,0.49,0.44,0.67
35.3,1,1,-0.38,0.34,0.67
45.4,2,1,-0.6,0.9,0.67
52.9,2,1,1.36,0.65,0.67
52.4,2,1,-0.24,-0.16,0.33
40.9,2,1,-0.23,0.44,0.33
46.9,2,1,0.51,-1.29,0.33
38.6,1,1,-0.6,-1.43,1
44.3,2,1,0.06,0.94,0.67
37.7,1,1,-0.37,-1.9,0.67
44.8,1,1,0.46,0.94,0.33
48.5,2,1,0.44,0.65,1
46.8,2,1,0.1,1.19,1
39.3,1,1,-2.23,1.19,1
51.7,1,1,1.13,0.87,1
37.6,1,1,0.26,1.19,1
40.2,2,1,-0.04,-0.29,0.67
38.6,1,1,0.69,0.03,0.67
36.4,2,1,-1.76,-0.93,0.67
33.7,1,1,-0.66,-0.08,1
42.1,1,1,-0.44,-0.31,0.67
49.1,1,1,1.16,1.19,0.33
56.2,2,1,0.91,-0.28,1
42,2,1,0.75,-0.26,0.67
36.9,1,1,-1.14,-0.06,1
62.8,2,1,0.46,0.03,1
52.9,2,1,0.45,0.03,1
38.4,2,1,-0.54,-0.59,1
64.7,1,1,-0.42,-0.6,1
45.7,1,1,-0.38,0.56,1
44.3,2,1,1.16,0.59,1
34.4,1,1,-0.68,0.32,0.67
46.4,2,2,0.7,0.87,1
58.7,2,2,0.48,0.63,1
42.9,2,2,-0.4,-1.8,0.33
48.5,2,2,0.66,0,1
71.3,1,1,0.06,0.03,1
40.3,1,1,0.46,-1.17,0.33
45.9,1,1,-0.4,0.88,0.33
47.1,2,1,0.06,0.03,0.67
45.4,2,1,-0.69,-1.13,0.67
72.2,2,1,1.16,1.19,1
45.5,1,1,0.3,-0.59,1
53.9,2,1,0.08,0.59,1
40.2,1,1,-1.3,0.03,1
40.3,2,1,-0.61,0.03,0.33
69.7,1,1,-0.16,0.65,1
63.1,2,1,1.16,0.65,1
41.9,2,1,0.91,0.65,0.33
60.2,1,1,0.68,0.03,0.67
51.1,1,1,0.06,-0.29,0.67
61.2,2,1,1.16,0.03,1
41,2,1,-0.59,0.03,0.33
60,2,1,1.13,0.87,1
62,1,1,0.42,0.56,0.67
46.3,2,1,1.16,0.63,0.67
48,1,1,1.16,-0.81,0.67
41.9,2,1,0.45,0.56,1
67,1,1,-0.16,-0.53,0.67
59.7,2,1,0.68,-0.6,0.33
41.2,2,1,0.06,0.03,1
61.4,2,1,1.11,0.9,0.33
45.1,2,1,-0.41,0.03,0.67
63.8,1,1,0.49,0.94,1
51.1,2,1,0.67,0.03,0.67
66.4,2,1,0.51,0.03,1
59.6,1,1,-0.84,0.34,0
48.1,1,1,0.27,0.03,1
55.5,2,1,0.06,0.03,1
46.1,2,1,-1.15,-1.38,1
50.6,2,1,0.66,-0.47,0.67
41.5,1,1,-0.82,0.63,1
60.6,1,1,-0.27,0.88,1
46.3,2,1,0.31,0.63,1
71.3,1,1,1.13,-0.6,0.67
43.8,2,1,-0.44,-0.78,1
48,2,1,0.44,0.03,1
40.2,2,1,-0.9,-2.54,0
46.1,2,1,-0.18,0.28,0.33
41.7,2,1,1.11,0.9,0.33
40.6,1,1,0.05,-0.6,0
46.8,2,1,-0.63,0.44,0.33
46.2,2,1,0.06,0.03,1
55.5,2,1,0.71,-0.29,0.67
55.3,1,1,0.26,0.03,1
44.7,2,1,0.04,-0.47,0.67
46.9,2,1,-1.81,-0.64,1
36.1,2,1,-0.4,-0.22,0.67
64.5,2,1,0.68,0.03,1
52.9,2,1,0,-0.42,0.67
47.7,2,1,0.46,0.03,1
48,2,1,0.1,0.03,0.33
49.5,2,1,0.66,0.34,1
56.4,1,1,-0.36,-1.67,1
54.6,1,1,0.93,0.34,1
51.4,1,1,0.48,0.03,1
52.2,2,1,-1.15,-0.47,0.67
70.5,1,1,0.89,0.59,0.67
50.6,1,1,0.49,1.19,1
54.6,1,1,0.44,0.65,1
63.8,2,1,0,-0.82,0.67
49.4,2,1,0.91,0.03,1
41.7,2,1,-0.2,1.19,1
45.9,2,1,0,-1.09,0.67
53.7,2,1,0.2,-0.47,0.33
58.8,2,1,0.06,0.03,0.67
48,2,1,0.96,0.87,1
48.7,2,1,0.2,-0.55,0.67
60.5,1,1,0.08,0.94,0.67
59.6,1,1,1.36,-0.8,0.67
67.9,1,1,0.46,0.94,1
38.4,2,1,-0.84,-0.18,0
54.8,1,1,0.46,0.03,0.67
58.9,1,1,0.48,0.69,0.67
52.2,1,1,0.75,1.19,1
55.3,2,1,-0.4,0.03,0
64.5,2,1,0.71,0.34,0.67
51.9,1,1,0.46,0.34,0.67
44.6,2,1,0.43,-0.47,1
41.4,2,1,0.46,-0.47,0
56.8,1,1,-0.49,0.03,0.33
53,2,1,-1.56,0.03,0.33
54.3,1,1,-0.17,-0.84,0.67
53,1,1,0.66,0.34,1
38.7,2,1,0.48,0.32,1
57,1,1,-0.14,-0.24,0.67
55.5,2,1,0.48,-0.47,0.33
45.5,1,1,-1.13,-0.55,0.33
53.9,1,1,0.06,0.03,0
53,1,1,0.2,-0.47,0.33
47.7,2,1,-0.64,-0.51,0.67
45.5,2,1,0.23,0.44,1
62.3,2,1,0.1,1.19,1
49.5,1,1,0.28,0.03,1
64,2,1,0.52,0.59,1
58.6,1,1,0.46,0.03,0.67
39.5,2,1,-0.8,0.15,0.33
40.2,2,1,-1.33,-0.6,0.33
36.9,2,1,-1.33,0.34,0
62.8,1,1,0.68,0.34,1
50.3,2,1,0.46,-0.55,0.33
40.9,1,1,-0.44,-0.22,0
59.6,2,1,0.23,-0.76,1
56.2,2,1,0.29,0.03,1
53,2,1,0.46,0.03,0.67
45.9,2,1,0.46,0.03,0.33
57,2,1,0.33,-0.26,1
66.1,2,1,-0.44,-0.47,1
41.4,1,1,-1.05,-0.34,0.67
62.3,2,1,1.11,0.34,1
48.3,1,1,0.46,-0.18,1
50.6,1,1,0.08,0.94,0.33
61.2,1,1,0.31,0.03,1
56.3,1,1,-0.18,0.03,0.67
52.2,2,1,0.71,-0.05,0.67
70.5,1,1,0.02,0.13,0.33
66.3,1,1,1.36,1.19,1
62.2,2,1,0,0.03,0.67
61.4,2,1,0.52,0.34,1
61.9,2,1,0.66,0.34,0.67
50.4,1,1,0.25,0.65,0
58,1,1,-0.38,0.03,1
67,2,1,0.46,-1.11,0.33
65.4,2,1,0.23,0.03,1
50.5,2,1,-1.09,-0.9,0.67
64.3,2,1,0.71,-0.55,1
59.6,1,1,-0.82,-0.76,0
56.3,2,1,1.36,0.03,0.67
50.1,2,1,-0.14,-0.86,0
61.8,2,1,0.46,1.19,0.67
70.5,2,1,0.06,0.32,1
58.8,1,1,-0.51,-1.98,0
64,1,1,0.68,0.03,0.33
67.1,2,1,0.75,1.19,1
57.9,1,1,0.69,0.05,0.67
44.5,2,1,-0.84,-0.24,1
50.6,1,1,0.01,0.32,0
61.9,2,1,-0.16,-0.45,0.67
42.9,2,1,-0.6,0.28,1
64.1,1,1,0.46,0.34,1
50.4,1,1,0,0.65,0.67
41.9,2,1,0.32,0.9,0.67
56.6,1,1,0.52,0.65,0.33
49.3,1,1,0.46,0.63,0.67
41.9,2,1,0.66,0.03,1
45.1,2,1,0.46,-0.47,0.67
47.8,1,1,0.26,0.03,1
57.2,2,1,0.91,-0.47,0.67
37.2,2,1,1.36,0.87,1
61.2,2,1,0.02,-1.05,0.33
41.9,2,1,-0.44,-0.47,0.33
47.1,1,1,-0.44,-0.55,0.33
52,1,1,0.22,0.03,0.67
46.3,1,1,-0.91,-0.59,0.67
41,1,1,-0.84,-0.57,0.33
42.9,1,1,0.66,0.34,0.33
59.6,2,1,0.94,0.03,1
42.3,2,1,-0.65,0.03,0.33
43.1,1,1,1.13,0.03,0.33
58.9,2,1,1.36,0.63,1
49.5,2,1,0.22,0.03,0.33
53.1,1,1,-0.43,0.03,1
35.3,1,1,0.28,-0.06,0.33
38.7,2,1,-1.99,0.03,0
47.8,1,1,-0.4,0.03,0
42.6,1,1,-0.03,-0.16,0
48,2,1,0.08,-0.24,0.33
52.9,2,1,0.46,0.34,0.67
56.3,1,1,0.06,0.03,0.67
51.1,1,1,-0.39,-0.28,0.67
43.8,2,1,0.26,-0.26,0
51.3,1,1,0.46,0.03,1
61.5,1,1,0.47,0.01,1
72.2,2,1,0.71,0.03,1
52.2,2,1,-0.16,-0.47,0.67
42.6,1,1,-0.37,-0.47,0.67
35.3,2,1,0.27,-2.52,0.33
51.3,1,1,0.71,0.34,0.67
53.9,2,1,0.46,0.03,0.67
65.6,2,1,0.28,0.03,0.67
61.4,2,1,0.46,0.03,1
38.6,1,1,-1.5,0.03,0.67
42.6,1,1,-0.41,0.28,0.33
58.1,2,1,0.32,0.9,0.67
58.1,2,1,0.32,0.65,1
43.6,1,1,-0.21,-1.13,0
68,2,1,-0.6,-1.18,0.67
45,2,1,-0.4,-0.89,0.33
41,2,1,-0.89,-1.29,0.33
54.6,2,1,0.06,-0.28,1
54.4,2,1,0.45,0.03,1
62.8,1,1,0.22,0.32,1
63,2,1,0.71,0.28,1
53,2,1,0.91,0.34,1
51.1,1,1,0,0.65,1
37.7,1,1,-0.38,0.03,1
58.1,2,1,-0.16,-2.58,1
45.9,2,1,-1.1,-0.28,0.67
70.5,2,1,0.93,0.03,1
55.7,1,1,0.7,-0.16,0.33
44.2,1,1,-0.45,-0.26,0
39.5,2,1,0.02,-2.03,0.67
41,2,1,-0.19,-2.58,0
50.5,1,1,0.91,-0.47,0.67
59.6,1,1,0.09,-1.42,0.33
58.3,2,1,0,0.65,1
50.9,1,1,0.7,-0.16,1
44.3,1,1,-0.6,0.56,0.33
56.9,1,1,-1.33,0.03,0.67
64,2,1,-0.16,0.03,1
63,1,1,0.46,0.65,1
56.5,1,1,-0.33,0.38,0.67
55.5,2,1,0.25,0.03,0.67
64.5,2,1,0.22,-0.57,1
37.7,1,1,0.22,1.19,0.33
63.8,2,1,0.27,0.03,0.67
41.2,1,1,-2.23,1.19,0.33
46.1,2,1,-0.38,0.37,0.67
53.9,2,1,0.06,0.65,0.33
64,2,1,0.89,0.88,1
54.8,2,1,1.13,0.03,0.33
52.3,2,1,-1.02,-1.67,0.67
51.9,2,1,0.45,0.03,0.67
56.8,2,1,0.06,0.65,0
37.9,1,1,-1.74,0.61,0.33
51.8,1,1,-1.3,0.13,0.33
73.1,1,1,0.46,0.03,0
54.6,2,1,0.55,-0.24,0.67
41.2,2,1,-0.68,0.03,0.33
40.3,1,1,0.25,-0.26,0.33
46.5,2,1,0.96,0.94,0.67
49.5,2,1,-0.24,0.03,0.67
38.6,1,1,-0.4,0.65,0.67
